"Local time in Johor Bahru / Senai (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.11.2018 08:00";"24.8";"754.1";"757.3";"";"98";"Wind blowing from the west-northwest";"0";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.3";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.4";"1.0";"24";"";"";"";"";
"11.11.2018 02:00";"24.4";"753.8";"757.0";"";"98";"Wind blowing from the north";"0";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"8.0";"24.0";"0.2";"6";"";"";"";"";
"10.11.2018 20:00";"25.6";"753.8";"757.0";"";"94";"Wind blowing from the east-northeast";"1";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"33.9";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"12.0";"24.6";"1.0";"6";"";"";"";"";
"10.11.2018 14:00";"32.7";"752.5";"755.7";"";"69";"Wind blowing from the north-northeast";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"28.0";"26.4";"No precipitation";"6";"";"";"";"";
"10.11.2018 08:00";"25.2";"754.2";"757.4";"";"95";"Wind blowing from the north-northwest";"2";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.9";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"7.0";"24.3";"No precipitation";"24";"";"";"";"";
"10.11.2018 02:00";"24.5";"753.7";"756.9";"";"98";"Wind blowing from the north";"0";"";"";"70 – 80%.";"Lightning visible, no thunder heard. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"3.0";"24.2";"No precipitation";"6";"";"";"";"";
"09.11.2018 20:00";"25.8";"752.7";"755.9";"";"95";"Wind blowing from the west-northwest";"0";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"29.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"14.0";"24.9";"No precipitation";"6";"";"";"";"";
"09.11.2018 14:00";"29.5";"752.7";"755.9";"";"81";"Wind blowing from the south-southwest";"2";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrostratus covering the whole sky.";"18.0";"25.8";"No precipitation";"6";"";"";"";"";
"09.11.2018 08:00";"25.6";"753.4";"756.6";"";"92";"Wind blowing from the west";"0";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.6";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.2";"22.0";"24";"";"";"";"";
"09.11.2018 02:00";"25.0";"753.1";"756.4";"";"98";"Wind blowing from the north-northwest";"0";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20–30%.";"200-300";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"8.0";"24.6";"No precipitation";"6";"";"";"";"";
"08.11.2018 20:00";"25.5";"752.3";"755.5";"";"93";"Wind blowing from the east-southeast";"0";"";"";"90  or more, but not 100%";"Lightning visible, no thunder heard. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"33.3";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"14.0";"24.3";"22.0";"6";"";"";"";"";
"08.11.2018 14:00";"33.0";"751.9";"755.2";"";"71";"Wind blowing from the north-northwest";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"26.0";"27.1";"No precipitation";"6";"";"";"";"";
"08.11.2018 08:00";"25.8";"753.0";"756.2";"";"92";"Wind blowing from the north-northwest";"1";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"23.8";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"22.0";"24.4";"29.0";"24";"";"";"";"";
"08.11.2018 02:00";"24.1";"753.4";"756.7";"";"98";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"200-300";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"6.0";"23.8";"24.0";"6";"";"";"";"";
"07.11.2018 20:00";"28.3";"752.5";"755.7";"";"88";"Wind blowing from the north";"0";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"33.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"14.0";"26.2";"No precipitation";"6";"";"";"";"";
"07.11.2018 14:00";"32.6";"752.7";"755.9";"";"69";"Wind blowing from the north-west";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"28.0";"26.1";"No precipitation";"6";"";"";"";"";
"07.11.2018 08:00";"25.3";"753.4";"756.6";"";"93";"Wind blowing from the west-northwest";"2";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.1";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"26.0";"24.1";"57.0";"24";"";"";"";"";
"07.11.2018 02:00";"24.2";"753.3";"756.5";"";"98";"Wind blowing from the west-northwest";"1";"";"";"90  or more, but not 100%";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20–30%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.8";"0.4";"6";"";"";"";"";
"06.11.2018 20:00";"23.3";"753.4";"756.7";"";"98";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";"Rain, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"32.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"200-300";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"8.0";"22.9";"56.0";"6";"";"";"";"";
"06.11.2018 14:00";"32.0";"752.4";"755.6";"";"74";"Wind blowing from the north-northwest";"2";"";"";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"26.0";"26.8";"No precipitation";"6";"";"";"";"";
"06.11.2018 08:00";"24.7";"753.9";"757.2";"";"95";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.1";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"10%  or less, but not 0";"200-300";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.9";"6.0";"24";"";"";"";"";
"06.11.2018 02:00";"24.4";"753.1";"756.4";"";"97";"Wind blowing from the north";"1";"";"";"60%.";"Clouds generally dissolving or becoming less developed. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"14.0";"23.9";"No precipitation";"6";"";"";"";"";
"05.11.2018 20:00";"25.9";"753.1";"756.4";"";"97";"Wind blowing from the north-northeast";"1";"";"";"90  or more, but not 100%";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"32.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"12.0";"25.4";"4.0";"6";"";"";"";"";
"05.11.2018 14:00";"31.2";"752.5";"755.7";"";"78";"Wind blowing from the west-northwest";"2";"";"";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"27.0";"2.0";"6";"";"";"";"";
"05.11.2018 08:00";"24.2";"754.1";"757.4";"";"98";"Wind blowing from the north-northeast";"1";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.8";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrostratus covering the whole sky.";"12.0";"23.9";"11.0";"24";"";"";"";"";
"05.11.2018 02:00";"24.4";"753.7";"756.9";"";"98";"Wind blowing from the north";"0";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"10%  or less, but not 0";"200-300";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"9.0";"24.0";"No precipitation";"6";"";"";"";"";
"04.11.2018 20:00";"25.4";"754.0";"757.2";"";"97";"Wind blowing from the west-northwest";"1";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Shower(s).";"Rain.";"";"32.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrostratus covering the whole sky.";"12.0";"24.9";"10.0";"6";"";"";"";"";
"04.11.2018 14:00";"31.8";"752.7";"755.9";"";"73";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"22.0";"26.4";"No precipitation";"6";"";"";"";"";
"04.11.2018 08:00";"25.4";"754.3";"757.6";"";"95";"Wind blowing from the north";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"16.0";"24.5";"24.0";"24";"";"";"";"";
"04.11.2018 02:00";"24.1";"754.6";"757.9";"";"98";"Wind blowing from the north-northeast";"0";"";"";"70 – 80%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.5";"23.8";"Trace of precipitation";"6";"";"";"";"";
"03.11.2018 20:00";"25.3";"754.5";"757.7";"";"97";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";"Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"200-300";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"5.0";"24.8";"15.0";"6";"";"";"";"";
"03.11.2018 14:00";"25.0";"754.2";"757.4";"";"98";"Wind blowing from the south";"6";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"0.5";"24.6";"8.0";"6";"";"";"";"";
"03.11.2018 08:00";"24.9";"754.8";"758.1";"";"96";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.2";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"10%  or less, but not 0";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"6.0";"24.2";"3.0";"24";"";"";"";"";
"03.11.2018 02:00";"24.7";"754.4";"757.6";"";"97";"Wind blowing from the north-northeast";"1";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"6.0";"24.2";"No precipitation";"6";"";"";"";"";
"02.11.2018 20:00";"25.9";"754.5";"757.7";"";"93";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"28.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"14.0";"24.6";"No precipitation";"6";"";"";"";"";
"02.11.2018 14:00";"27.4";"753.7";"756.9";"";"85";"Wind blowing from the north-northwest";"1";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Shower(s).";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"14.0";"24.7";"3.0";"6";"";"";"";"";
"02.11.2018 08:00";"25.1";"754.2";"757.4";"";"95";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.8";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"6.0";"24.3";"2.0";"24";"";"";"";"";
"02.11.2018 02:00";"24.3";"753.5";"756.7";"";"98";"Wind blowing from the north";"0";"";"";"90  or more, but not 100%";"Lightning visible, no thunder heard. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"100-200";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.9";"No precipitation";"6";"";"";"";"";
"01.11.2018 20:00";"24.9";"753.1";"756.4";"";"95";"Wind blowing from the north";"0";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"30.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"14.0";"24.0";"2.0";"6";"";"";"";"";
"01.11.2018 14:00";"27.8";"753.1";"756.3";"";"83";"Wind blowing from the east-northeast";"5";"";"";"90  or more, but not 100%";"Thunderstorm, but no precipitation at the time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"12.0";"24.7";"No precipitation";"6";"";"";"";"";
"01.11.2018 08:00";"25.0";"753.4";"756.7";"";"95";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.3";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"14.0";"24.1";"No precipitation";"24";"";"";"";"";
"01.11.2018 02:00";"24.8";"752.9";"756.1";"";"95";"Wind blowing from the north";"0";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"14.0";"23.9";"No precipitation";"6";"";"";"";"";
"31.10.2018 20:00";"26.6";"753.3";"756.5";"";"88";"Wind blowing from the north-northeast";"1";"";"";"90  or more, but not 100%";"Lightning visible, no thunder heard. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"31.3";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"14.0";"24.5";"No precipitation";"6";"";"";"";"";
