time,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR
20.11.2018 14:00,30.8,756.9,758.3,-2.2,66,Wind blowing from the west-northwest,4,,,"90  or more, but not 100%",Haze. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus.",10,23.7,No precipitation,6
20.11.2018 11:00,29.1,759.1,760.6,1.5,77,Wind blowing from the north-northwest,3,,,"90  or more, but not 100%",Haze. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus.",10,24.6,,
20.11.2018 08:00,26,757.6,759.1,1.1,89,Wind blowing from the north-northwest,1,,,"90  or more, but not 100%",Haze. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,24.3,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus.",10,24,No precipitation,24
20.11.2018 05:00,25.8,756.5,757.9,"-1.4,""90"",""Wind blowing from the north"",""2"","""","""",""90  or more"," but not 100%"",""Lightning visible"," no thunder heard. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""20–30%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""24.0"","""","""","""","""","""","""",",,,,,,,,,,,
"20.11.2018 02:00,""26.7"",""757.9"",""759.3"",""-0.8"",""86"",""Wind blowing from the north-northwest"",""2"","""","""",""90  or more"," but not 100%"",""Lightning visible"," no thunder heard. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""40%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""9.0"",""24.1"",""No precipitation"",""6"","""","""","""","""",",,,,,,,,,,,,,,,
"19.11.2018 23:00,""27.4"",""758.7"",""760.1"",""1.5"",""77"",""Wind blowing from the north-west"",""2"","""","""",""90  or more"," but not 100%"",""Lightning visible"," no thunder heard. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""20–30%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""23.1"","""","""","""","""","""","""",",,,,,,,,,,,,,,,
"19.11.2018 20:00,""27.7"",""757.2"",""758.6"",""1.6"",""80"",""Wind blowing from the west"",""1"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""",""31.8"",""Cumulus mediocris or congestus", with or without Cumulus of species fractus or humilis or Stratocumulus," all having their bases at the same level."",""10%  or less"," but not 0"",""600-1000"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""24.0"",""No precipitation"",""6"","""","""","""","""",",,,,,,,,,,,,,,,,,
"19.11.2018 17:00,""29.9"",""755.6"",""757.0"",""-2.2"",""66"",""Wind blowing from the south-west"",""2"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""20–30%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""22.8"","""","""","""","""","""","""",",,,,,,,,,,,,,,,,
"19.11.2018 14:00,""31.0"",""757.8"",""759.2"",""-1.5"",""69"",""Wind blowing from the south-west"",""2"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulus mediocris or congestus", with or without Cumulus of species fractus or humilis or Stratocumulus," all having their bases at the same level."",""40%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""24.7"",""No precipitation"",""6"","""","""","""","""",",,,,,,,,,,,,,,,,,,
"19.11.2018 11:00,""28.9"",""759.3"",""760.7"",""1.5"",""74"",""Wind blowing from the south-southwest"",""1"","""","""",""70 – 80%."",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulus mediocris or congestus", with or without Cumulus of species fractus or humilis or Stratocumulus," all having their bases at the same level."",""10%  or less"," but not 0"",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""23.8"","""","""","""","""","""","""",",,,,,,,,,,,,,,,,,,
"19.11.2018 08:00,""24.3"",""757.8"",""759.2"",""0.1"",""95"",""Wind blowing from the north"",""3"","""","""",""90  or more"," but not 100%"",""Mist. "",""Thunderstorm(s) with or without precipitation."",""Rain."",""23.5"","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""20–30%."",""50-100"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""7.0"",""23.5"",""58.0"",""24"","""","""","""","""",",,,,,,,,,,,,,,,,
"19.11.2018 05:00,""23.7"",""757.7"",""759.1"",""-1.0"",""97"",""Wind blowing from the south"",""2"","""","""",""90  or more"," but not 100%"",""Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. "",""Thunderstorm(s) with or without precipitation."",""Rain."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""50%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrostratus not progressively invading the sky and not entirely covering it."",""4.0"",""23.2"","""","""","""","""","""","""",",,,,,,,,,,,,,,,,,,
"19.11.2018 02:00,""24.0"",""758.7"",""760.1"",""0.2"",""97"",""Wind blowing from the south"",""5"","""","""",""90  or more"," but not 100%"",""Thunderstorm", slight or moderate, without hail," but with rain and/or snow at time of observation. "",""Thunderstorm(s) with or without precipitation."",""Rain."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""50%."",""100-200"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrostratus not progressively invading the sky and not entirely covering it."",""1.0"",""23.5"",""18.0"",""6"","""","""","""","""",",,,,,,,,,,,,,,,
"18.11.2018 23:00,""28.1"",""758.5"",""759.9"",""2.1"",""80"",""Wind blowing from the east"",""3"","""","""",""90  or more"," but not 100%"",""Lightning visible"," no thunder heard. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""10%  or less"," but not 0"",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""24.3"","""","""","""","""","""","""",",,,,,,,,,,,,,,
"18.11.2018 20:00,""28.3"",""756.4"",""757.8"",""1.5"",""79"",""Wind blowing from the south-west"",""2"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""",""32.6"",""Stratocumulus other than Stratocumulus cumulogenitus."",""10%  or less"," but not 0"",""600-1000"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""24.3"",""No precipitation"",""6"","""","""","""","""",",,,,,,,,,,,,,,,,,,,
"18.11.2018 17:00,""31.9"",""754.9"",""756.3"",""-1.8"",""63"",""Wind blowing from the south-southwest"",""2"","""","""",""90  or more"," but not 100%"",""Precipitation within sight", reaching the ground or the surface of the sea, but distant," i.e. estimated to be more than 5 km from the station. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""20–30%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""24.1"","""","""","""","""","""","""",",,,,,,,,,,,,,
"18.11.2018 14:00,""32.0"",""756.7"",""758.1"",""-1.5"",""59"",""Wind blowing from the south"",""3"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulus humilis or Cumulus fractus other than of bad weather"," or both."",""20–30%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""23.1"",""No precipitation"",""6"","""","""","""","""",",,,,,,,,,,,,,,,,,,,
"18.11.2018 11:00,""30.5"",""758.2"",""759.7"",""1.1"",""72"",""Wind blowing from the south-southeast"",""2"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulus mediocris or congestus", with or without Cumulus of species fractus or humilis or Stratocumulus," all having their bases at the same level."",""40%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""25.0"","""","""","""","""","""","""",",,,,,,,,,,,,,,,,,,
"18.11.2018 08:00,""25.5"",""757.1"",""758.5"",""1.0"",""93"",""Wind blowing from the south-southeast"",""2"","""","""",""90  or more"," but not 100%"",""Haze. "",""Thunderstorm(s) with or without precipitation."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""24.9"","""",""Stratocumulus other than Stratocumulus cumulogenitus."",""10%  or less"," but not 0"",""600-1000"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""9.0"",""24.2"",""0.2"",""24"","""","""","""","""",",,,,,,,,,,,,,,,,,,,
"18.11.2018 05:00,""25.3"",""756.1"",""757.5"",""-0.3"",""95"",""Wind blowing from the south-east"",""3"","""","""",""90  or more"," but not 100%"",""Thunderstorm", slight or moderate, without hail," but with rain and/or snow at time of observation. "",""Thunderstorm(s) with or without precipitation."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""40%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrostratus not progressively invading the sky and not entirely covering it."",""6.0"",""24.4"","""","""","""","""","""","""",",,,,,,,,,,,,,,,
"18.11.2018 02:00,""26.2"",""756.4"",""757.8"",""-0.6"",""91"",""Wind blowing from the south-east"",""1"","""","""",""90  or more"," but not 100%"",""Lightning visible"," no thunder heard. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""10%  or less"," but not 0"",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""7.0"",""24.6"",""No precipitation"",""6"","""","""","""","""",",,,,,,,,,,,,,,
"17.11.2018 23:00,""27.5"",""757.0"",""758.4"",""1.2"",""85"",""Wind blowing from the south-east"",""2"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Stratocumulus other than Stratocumulus cumulogenitus."",""10%  or less"," but not 0"",""600-1000"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""8.0"",""24.8"","""","""","""","""","""","""",",,,,,,,,,,,,,,,,,,,
"17.11.2018 20:00,""28.4"",""755.8"",""757.2"",""1.4"",""83"",""Wind blowing from the east"",""2"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""",""32.6"",""Stratocumulus other than Stratocumulus cumulogenitus."",""10%  or less"," but not 0"",""600-1000"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""7.0"",""25.2"",""No precipitation"",""6"","""","""","""","""",",,,,,,,,,,,,,,,,,,,
"17.11.2018 17:00,""29.3"",""754.4"",""755.8"",""-1.1"",""81"",""Wind blowing from the south-southeast"",""2"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulus humilis or Cumulus fractus other than of bad weather"," or both."",""10%  or less"," but not 0"",""300-600"",""Altocumulus translucidus or opacus in two or more layers", or Altocumulus opacus in a single layer, not progressively invading the sky," or Altocumulus with Altostratus or Nimbostratus."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""25.6"","""","""","""","""","""","""",",,,,,,,,,,,,,,,,
"17.11.2018 14:00,""30.7"",""755.5"",""757.0"",""-2.1"",""74"",""Wind blowing from the south-southwest"",""3"","""","""",""90  or more"," but not 100%"",""Precipitation within sight", reaching the ground or the surface of the sea, but distant," i.e. estimated to be more than 5 km from the station. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""40%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""9.0"",""25.5"",""No precipitation"",""6"","""","""","""","""",",,,,,,,,,,,,,
"17.11.2018 11:00,""31.2"",""757.6"",""759.0"",""0.7"",""71"",""Wind blowing from the west-southwest"",""2"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulus humilis or Cumulus fractus other than of bad weather"," or both."",""40%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""25.3"","""","""","""","""","""","""",",,,,,,,,,,,,,,,,,,,
"17.11.2018 08:00,""26.4"",""756.9"",""758.3"",""1.4"",""91"",""Wind blowing from the west"",""2"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""25.2"","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""20–30%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""24.9"",""No precipitation"",""24"","""","""","""","""",",,,,,,,,,,,,,,,,
"17.11.2018 05:00,""26.2"",""755.5"",""756.9"",""-0.8"",""90"",""Wind blowing from the north-northeast"",""0"","""","""",""90  or more"," but not 100%"",""Lightning visible"," no thunder heard. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""10%  or less"," but not 0"",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""24.5"","""","""","""","""","""","""",",,,,,,,,,,,,,,
"17.11.2018 02:00,""26.9"",""756.3"",""757.7"",""-0.4"",""86"",""Wind blowing from the east-southeast"",""0"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Stratocumulus other than Stratocumulus cumulogenitus."",""10%  or less"," but not 0"",""600-1000"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus fibratus", sometimes uncinus," not progressively invading the sky."",""10.0"",""24.4"",""No precipitation"",""6"","""","""","""","""",",,,,,,,,,,,,,,,,,,,
"16.11.2018 23:00,""27.1"",""756.7"",""758.2"",""1.6"",""88"",""Wind blowing from the south-east"",""0"","""","""",""70 – 80%."",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Stratocumulus other than Stratocumulus cumulogenitus."",""10%  or less"," but not 0"",""600-1000"",""Altocumulus translucidus at a single level."",""Cirrus fibratus", sometimes uncinus," not progressively invading the sky."",""10.0"",""25.0"","""","""","""","""","""","""",",,,,,,,,,,,,,,,,,,,,,
"16.11.2018 20:00,""28.2"",""755.1"",""756.5"",""1.1"",""82"",""Wind blowing from the south-southeast"",""2"","""","""",""90  or more"," but not 100%"",""Lightning visible"," no thunder heard. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""",""32.0"",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""10%  or less"," but not 0"",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""24.8"",""No precipitation"",""6"","""","""","""","""",",,,,,,,,,,,,,,
"16.11.2018 17:00,""31.2"",""754.0"",""755.4"",""-1.6"",""64"",""Wind blowing from the south"",""3"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""20–30%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""23.7"","""","""","""","""","""","""",",,,,,,,,,,,,,,,,
"16.11.2018 14:00,""30.8"",""755.6"",""757.0"",""-1.8"",""67"",""Wind blowing from the south"",""2"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulus mediocris or congestus", with or without Cumulus of species fractus or humilis or Stratocumulus," all having their bases at the same level."",""20–30%."",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""23.9"",""No precipitation"",""6"","""","""","""","""",",,,,,,,,,,,,,,,,,,
"16.11.2018 11:00,""28.5"",""757.4"",""758.8"",""0.4"",""79"",""Wind blowing from the south-southeast"",""2"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""10%  or less"," but not 0"",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""24.6"","""","""","""","""","""","""",",,,,,,,,,,,,,,,
"16.11.2018 08:00,""25.2"",""757.0"",""758.4"",""1.0"",""91"",""Wind blowing from the south-east"",""1"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""24.2"","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""10%  or less"," but not 0"",""300-600"",""Altocumulus translucidus or opacus in two or more layers", or Altocumulus opacus in a single layer, not progressively invading the sky," or Altocumulus with Altostratus or Nimbostratus."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""23.7"",""0.2"",""24"","""","""","""","""",",,,,,,,,,,,,,
"16.11.2018 05:00,""24.7"",""756.0"",""757.4"",""-0.4"",""93"",""Wind blowing from the south-east"",""1"","""","""",""90  or more"," but not 100%"",""Lightning visible"," no thunder heard. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Cumulonimbus capillatus (often with an anvil)", with or without Cumulonimbus calvus, Cumulus, Stratocumulus," Stratus or pannus."",""10%  or less"," but not 0"",""300-600"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""9.0"",""23.5"","""","""","""","""","""","""",",,,,,,,,,,,,,,
"16.11.2018 02:00,""25.6"",""756.4"",""757.8"",""-1.1"",""94"",""Wind blowing from the north"",""0"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Stratocumulus cumulogenitus."",""10%  or less"," but not 0"",""600-1000"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""24.6"",""No precipitation"",""6"","""","""","""","""",",,,,,,,,,,,,,,,,,,,
"15.11.2018 23:00,""26.1"",""757.5"",""758.9"",""1.3"",""90"",""Wind blowing from the south-southeast"",""1"","""","""",""90  or more"," but not 100%"",""Haze. "",""Cloud covering more than 1/2 of the sky throughout the appropriate period."",""Cloud covering more than 1/2 of the sky throughout the appropriate period."","""","""",""Stratocumulus cumulogenitus."",""10%  or less"," but not 0"",""600-1000"",""Patches (often lenticular) of Altocumulus translucidus"," continually changing and occurring at one or more levels."",""Cirrus spissatus", in patches or entangled sheaves," which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus."",""10.0"",""24.4"","""","""","""","""","""","""",",,,,,,,,,,,,,,,,,,,
