date,time,T,Po,U,Ff,WW,Nh,H,VV,Td
2018-11-28,14,32.3,755.2,65,3 m/s,Clouds generally forming or developing.,50%.,600-1000,20.0,24.8
2018-11-28,11,30.6,757.7,74,1 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",60%.,300-600,18.0,25.5
2018-11-28,8,26.1,757.6,94,2 m/s,Thunderstorm (with or without precipitation).,50%.,50-100,12.0,25.1
2018-11-28,5,24.5,756.1,99,2 m/s,"Thunderstorm, but no precipitation at the time of observation.",20–30%.,Less,8.0,24.4
2018-11-28,2,25.5,756.8,98,,"Lightning visible, no thunder heard.",50%.,300-600,15.0,25.1
2018-11-27,23,26.3,757.5,95,1 m/s,State of sky on the whole unchanged.,40%.,600-1000,15.0,25.5
2018-11-27,20,27.0,756.7,94,2 m/s,Clouds generally forming or developing.,50%.,600-1000,15.0,26.0
2018-11-27,17,29.4,755.0,79,1 m/s,Clouds generally dissolving or becoming less developed.,40%.,300-600,18.0,25.3
2018-11-27,14,27.4,755.6,87,4 m/s,"Rain shower(s), moderate or heavy.",50%.,300-600,7.0,25.1
2018-11-27,11,32.0,757.6,69,2 m/s,Clouds generally forming or developing.,60%.,300-600,20.0,25.7
2018-11-27,8,25.2,757.8,91,2 m/s,Thunderstorm (with or without precipitation).,20–30%.,300-600,20.0,23.6
2018-11-27,5,23.3,756.3,98,2 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,15.0,22.9
2018-11-27,2,24.0,756.4,97,1 m/s,"Lightning visible, no thunder heard.",50%.,300-600,15.0,23.5
2018-11-26,23,24.2,757.8,95,2 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.4
2018-11-26,20,24.4,756.8,91,2 m/s,Thunderstorm (with or without precipitation).,50%.,300-600,15.0,22.9
2018-11-26,17,30.2,754.6,74,3 m/s,Thunderstorm (with or without precipitation).,60%.,300-600,15.0,25.1
2018-11-26,14,32.5,755.2,64,2 m/s,Clouds generally forming or developing.,50%.,300-600,20.0,24.9
2018-11-26,11,30.3,757.3,76,2 m/s,Clouds generally forming or developing.,20–30%.,300-600,20.0,25.6
2018-11-26,8,24.7,757.0,96,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,20.0,24.0
2018-11-26,5,23.6,756.4,98,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,15.0,23.3
2018-11-26,2,24.0,756.9,98,,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,15.0,23.6
2018-11-25,23,24.0,757.4,96,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,15.0,23.3
